Country name,year,Happiness Score,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Region Name,Death Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
Albania,2007,4.634,9.122,0.821,66.76,0.529,-0.01,0.875,0.489,0.246,Europe,124.0,0.85352423,4.0559859,4.17505465
Albania,2010,5.269,9.283,0.733,67.6,0.569,-0.174,0.726,0.576,0.3,Europe,96.0,0.79083944,3.07925445,3.29553877
Argentina,2006,6.313,9.937,0.938,65.82,0.733,-0.16,0.852,0.748,0.328,Central and South America,3119.0,1.06700694,7.86217113,7.93843137
Argentina,2007,6.073,10.013,0.862,65.94,0.653,-0.144,0.881,0.75,0.279,Central and South America,2955.0,0.94176663,7.35741686,7.44627062
Argentina,2008,5.961,10.043,0.892,66.06,0.678,-0.135,0.865,0.72,0.318,Central and South America,3071.0,1.02477,7.57016353,7.66214506
Argentina,2009,6.424,9.972,0.919,66.18,0.637,-0.133,0.885,0.762,0.237,Central and South America,2910.0,0.96399751,7.05760896,7.1882401
Argentina,2010,6.441,10.066,0.927,66.3,0.73,-0.129,0.855,0.765,0.211,Central and South America,2967.0,0.93803944,7.11419719,7.25503226
Argentina,2011,6.776,10.112,0.889,66.42,0.816,-0.178,0.755,0.769,0.232,Central and South America,2934.0,0.92638492,6.95955981,7.10059172
Argentina,2012,6.468,10.091,0.902,66.54,0.747,-0.151,0.817,0.744,0.272,Central and South America,3273.0,1.03202331,7.64891067,7.83854541
Argentina,2013,6.582,10.103,0.91,66.66,0.737,-0.134,0.823,0.766,0.254,Central and South America,3004.0,0.92909036,7.0029969,7.11915315
Argentina,2014,6.671,10.067,0.918,66.78,0.745,-0.168,0.854,0.769,0.238,Central and South America,3255.0,1.0107597,7.50052985,7.63412292
Argentina,2015,6.697,10.083,0.926,66.9,0.881,-0.178,0.851,0.768,0.305,Central and South America,3102.0,0.93832807,6.97654947,7.20132337
Argentina,2016,6.427,10.051,0.883,66.95,0.848,-0.195,0.851,0.732,0.312,Central and South America,3050.0,0.87113736,6.77301303,7.0101309
Argentina,2017,6.039,10.069,0.907,67.0,0.832,-0.19,0.841,0.715,0.292,Central and South America,3222.0,0.94296551,7.14961263,7.33320375
Argentina,2018,5.793,10.032,0.9,67.05,0.846,-0.214,0.855,0.732,0.321,Central and South America,3322.0,0.98627469,7.28248275,7.48853445
Argentina,2019,6.086,10.002,0.896,67.1,0.817,-0.214,0.83,0.735,0.319,Central and South America,3297.0,0.96480242,7.18507505,7.36255059
Argentina,2020,5.901,9.888,0.897,67.15,0.823,-0.129,0.816,0.679,0.342,Central and South America,2872.0,0.76338516,6.14415885,6.35457643
Armenia,2006,4.289,9.021,0.682,63.84,0.52,-0.232,0.85,0.453,0.469,Asia,78.0,0.28674362,2.38965404,2.63664319
Armenia,2007,4.882,9.157,0.76,64.08,0.605,-0.252,0.817,0.454,0.412,Asia,71.0,0.26462915,2.10031626,2.42104495
Armenia,2008,4.652,9.23,0.709,64.32,0.462,-0.216,0.876,0.486,0.385,Asia,63.0,0.22982635,1.74364793,1.94803327
Armenia,2009,4.178,9.085,0.68,64.56,0.441,-0.215,0.882,0.479,0.411,Asia,53.0,0.19230769,1.6083435,1.8351216
Armenia,2010,4.368,9.113,0.66,64.8,0.459,-0.177,0.891,0.437,0.426,Asia,73.0,0.26145195,2.31393262,2.537084
Armenia,2011,4.26,9.164,0.705,65.04,0.465,-0.227,0.875,0.411,0.459,Asia,67.0,0.23960233,2.03161583,2.32918877
Armenia,2012,4.32,9.239,0.676,65.28,0.502,-0.217,0.893,0.47,0.464,Asia,79.0,0.28623188,2.38951208,2.61232415
Armenia,2013,4.277,9.276,0.723,65.52,0.504,-0.198,0.9,0.503,0.45,Asia,67.0,0.24635976,1.92452242,2.21709019
Armenia,2014,4.453,9.315,0.739,65.76,0.506,-0.222,0.92,0.51,0.404,Asia,58.0,0.20928051,1.54118108,1.92445582
Armenia,2015,4.348,9.351,0.723,66.0,0.551,-0.207,0.901,0.527,0.438,Asia,74.0,0.26544228,2.02075535,2.46290007
Armenia,2016,4.325,9.357,0.709,66.275,0.611,-0.175,0.921,0.516,0.437,Asia,67.0,0.2373698,1.84524103,2.23903242
Armenia,2017,4.288,9.434,0.698,66.55,0.614,-0.152,0.865,0.552,0.437,Asia,44.0,0.16221198,1.32304298,1.51051127
Armenia,2018,5.062,9.49,0.814,66.825,0.808,-0.169,0.677,0.535,0.455,Asia,59.0,0.22911732,1.59022961,1.98720041
Armenia,2019,5.488,9.569,0.782,67.1,0.844,-0.179,0.583,0.537,0.43,Asia,49.0,0.18713004,1.31949801,1.65401849
Armenia,2021,5.301,9.561,0.762,67.65,0.795,-0.156,0.705,0.566,0.478,Asia,53.0,0.15412353,1.46155523,1.78563788
Australia,2007,7.285,10.694,0.965,69.96,0.891,0.343,0.513,0.762,0.215,Oceania,2229.0,1.61692805,9.7095193,10.57779133
Australia,2008,7.254,10.709,0.947,70.04,0.916,0.302,0.431,0.729,0.218,Oceania,2341.0,1.62630431,9.95947961,10.88911154
Australia,2010,7.45,10.714,0.955,70.2,0.932,0.313,0.366,0.762,0.22,Oceania,2420.0,1.68672851,9.81690069,10.85322737
Australia,2011,7.406,10.723,0.967,70.28,0.945,0.366,0.382,0.724,0.195,Oceania,2393.0,1.62864454,9.73251434,10.71171634
Australia,2012,7.196,10.744,0.945,70.36,0.935,0.27,0.368,0.728,0.214,Oceania,2580.0,1.75393275,10.27392118,11.35150989
Australia,2013,7.364,10.752,0.928,70.44,0.933,0.265,0.432,0.77,0.177,Oceania,2610.0,1.76735871,10.22264573,11.29021995
Australia,2014,7.289,10.763,0.924,70.52,0.923,0.315,0.442,0.74,0.245,Oceania,2922.0,1.90259148,11.29103056,12.43185349
Australia,2015,7.309,10.77,0.952,70.6,0.922,0.328,0.357,0.75,0.21,Oceania,3093.0,1.94464703,11.80848677,12.98707024
Australia,2016,7.25,10.781,0.942,70.675,0.922,0.235,0.399,0.736,0.236,Oceania,2909.0,1.83528491,11.00578456,12.02517954
Australia,2017,7.257,10.787,0.95,70.75,0.911,0.314,0.411,0.728,0.225,Oceania,3290.0,2.04242533,12.23988967,13.37713661
Australia,2018,7.177,10.801,0.94,70.825,0.916,0.143,0.405,0.706,0.187,Oceania,3205.0,2.02006832,11.7745864,12.83712832
Australia,2019,7.234,10.807,0.943,70.9,0.918,0.117,0.43,0.727,0.202,Oceania,3358.0,1.98742913,12.16404807,13.25166237
Australia,2020,7.137,10.794,0.937,70.975,0.905,0.203,0.491,0.726,0.205,Oceania,3139.0,1.94606324,11.26068774,12.23529386
Australia,2021,7.112,10.815,0.92,71.05,0.912,0.236,0.454,0.74,0.235,Oceania,3144.0,1.83356758,11.12262077,12.23914019
Austria,2006,7.122,10.836,0.936,69.5,0.941,0.298,0.49,0.746,0.174,Europe,1297.0,1.74574332,11.94748978,15.68708463
Austria,2008,7.181,10.881,0.935,69.7,0.879,0.287,0.614,0.716,0.173,Europe,1267.0,1.68746587,11.17562427,15.22554537
Austria,2010,7.303,10.856,0.914,69.9,0.896,0.127,0.546,0.71,0.156,Europe,1264.0,1.63732691,11.36121877,15.11768411
Austria,2011,7.471,10.881,0.944,70.0,0.939,0.128,0.703,0.672,0.145,Europe,1288.0,1.68412244,11.35898109,15.35429194
Austria,2012,7.401,10.884,0.945,70.1,0.92,0.114,0.771,0.712,0.157,Europe,1276.0,1.60632459,10.88193397,15.14304421
Austria,2013,7.499,10.878,0.95,70.2,0.922,0.164,0.679,0.725,0.163,Europe,1291.0,1.62336846,10.68165327,15.22903118
Austria,2014,6.95,10.877,0.899,70.3,0.885,0.114,0.567,0.721,0.17,Europe,1314.0,1.67919031,11.20753682,15.37933588
Austria,2015,7.076,10.876,0.928,70.4,0.9,0.095,0.557,0.748,0.164,Europe,1251.0,1.50590445,10.23804854,14.49675237
Austria,2016,7.048,10.885,0.926,70.525,0.889,0.076,0.524,0.713,0.197,Europe,1204.0,1.49251881,9.74650023,13.77604949
Austria,2017,7.294,10.9,0.906,70.65,0.89,0.129,0.518,0.699,0.18,Europe,1224.0,1.46991714,9.6751214,13.91688278
Austria,2018,7.396,10.919,0.912,70.775,0.904,0.05,0.523,0.695,0.226,Europe,1209.0,1.4397142,9.43957416,13.68001904
Austria,2019,7.195,10.93,0.964,70.9,0.903,0.056,0.457,0.727,0.205,Europe,1113.0,1.33475643,8.61479193,12.53711996
Austria,2020,7.213,10.859,0.925,71.025,0.912,0.006,0.464,0.716,0.206,Europe,1072.0,1.17031845,8.04444549,12.02218946
Austria,2021,7.08,10.899,0.863,71.15,0.795,0.159,0.501,0.722,0.259,Europe,1099.0,1.19505883,8.21841758,12.27724454
